,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9
0,False,247,0,0,1452,1085,14,40794,True,False,11463,False,False,False,True,False,False,0.0,0.0,1,1,1,0.0,0.0,0.0,0,0,0,25,207,134,0,0,0,0,0,0,0,0,0,-0.1156598209701088,-0.02937106632447227,1.6234875555647434,0.6703328738299439,0.016762713374871403,1.0355763885172686,1.1660631926232874,1.1133703915830182,-2.239289919650515,-1.700471560509875
1,False,2543,0,0,176,1297,0,7620,False,False,3444,False,False,False,True,False,False,0.0,0.0,2,1,1,0.0,0.0,0.0,0,0,0,152,28,235,0,0,0,0,0,0,0,0,0,-0.10027307176467216,-0.05771277145887277,0.37803876590556973,0.1887268002328978,-0.10111510340294504,0.31438692737439017,0.27336360909877666,0.28094197829372125,-0.5639974943729837,-0.4380166326443859
2,False,816,0,0,48,130,0,8648,False,False,2580,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.15958233084285992,-0.2657923427754657,1.8237021673117384,0.894952631048825,-0.12599362162794348,1.4839863630832233,1.1021259805540526,1.20065902819635,-2.441062250574846,-2.0281644808489645
3,False,2687,0,0,21,102,1,16040,False,False,5034,False,False,True,True,True,False,0.0,0.0,2,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.015041830571298556,-0.10124035514525953,0.6129187671771965,0.2768490987561376,-0.13914317957848496,0.4822826963786448,0.3339608684177591,0.3071989715029704,-0.7945772774061408,-0.6903440804147101
4,False,0,0,0,155,401,3,8729,False,False,7555,False,False,True,True,True,False,1.0,0.0,0,0,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.04196681008804781,-0.13303179340520993,0.6725383191638241,0.46705301306002156,-0.05530595909242485,0.5754100105833708,0.4442807447714361,0.43701105549578895,-1.0209323283834701,-0.9343174220731354
5,False,912,0,0,108,173,1,11245,False,False,1717,False,False,True,True,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.11105710060535089,-0.14874565325834976,0.9362709389903819,0.48357177450659783,-0.07648561553806255,0.7968007343566565,0.5492599016594839,0.7076612384460612,-1.1811804980140077,-1.1440267092971115
6,False,2978,0,0,219,255,0,208,True,False,159,False,False,True,False,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.08450692967390619,-0.0853841900988259,0.5011432665416141,0.2624511724639325,-0.06614824730141022,0.42375389618654924,0.2997641228095135,0.29146744647116296,-0.6523344913809979,-0.5639944686522895
7,False,744,0,0,69,258,0,7051,False,False,3549,False,False,True,True,True,False,0.0,0.0,6,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.10310229707993518,-0.10054979024388663,0.7914923194440355,0.33544823231968096,-0.05736477833139442,0.6051944004976365,0.4984857354396394,0.542988260987716,-1.1454667302739086,-0.9730130577064777
8,False,56,0,0,436,739,1,36516,False,False,18234,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.008905301387597696,-0.1321446358990431,1.1753410145829384,0.5693278123662462,-0.12128805192030723,0.9256961797124855,0.7213077116858275,0.8525819113736418,-1.557917559003094,-1.368066390518056
9,False,46,0,1,20,440,0,710,False,False,1508,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.11629453013751831,-0.23086336883688802,1.3781632419731809,0.5955006746692217,-0.152683680559234,1.0282984949295833,0.931097606737781,0.8592277197910652,-1.8555091532636747,-1.5467467280623108
