,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b
0,False,247,0,0,1452,1085,14,40794,True,False,11463,False,False,False,True,False,False,0.0,0.0,1,1,1,0.0,0.0,0.0,0,0,0,25,207,134,0,0,0,0,0,0,0,0,0
1,False,2543,0,0,176,1297,0,7620,False,False,3444,False,False,False,True,False,False,0.0,0.0,2,1,1,0.0,0.0,0.0,0,0,0,152,28,235,0,0,0,0,0,0,0,0,0
2,False,816,0,0,48,130,0,8648,False,False,2580,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
3,False,2687,0,0,21,102,1,16040,False,False,5034,False,False,True,True,True,False,0.0,0.0,2,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
4,False,0,0,0,155,401,3,8729,False,False,7555,False,False,True,True,True,False,1.0,0.0,0,0,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
5,False,912,0,0,108,173,1,11245,False,False,1717,False,False,True,True,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
6,False,2978,0,0,219,255,0,208,True,False,159,False,False,True,False,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
7,False,744,0,0,69,258,0,7051,False,False,3549,False,False,True,True,True,False,0.0,0.0,6,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
8,False,56,0,0,436,739,1,36516,False,False,18234,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
9,False,46,0,1,20,440,0,710,False,False,1508,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
10,False,74,0,0,145,443,1,6399,False,False,5020,False,False,True,True,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
11,False,2435,0,0,58,97,0,25632,False,False,19048,False,False,True,False,True,False,0.0,0.0,1,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
12,False,466,0,0,92,4960,0,16383,False,False,14352,False,False,True,True,True,True,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
13,False,112,0,0,55,518,0,24528,False,False,2306,False,False,True,True,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
14,False,12299,0,0,36,92,0,6789,False,False,555,False,False,True,True,True,False,0.0,0.0,2,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
15,False,4068,0,0,67,578,0,12133,False,False,21763,False,False,True,False,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
16,False,1341,0,0,513,1084,7,65119,True,False,29483,False,False,True,True,True,False,0.0,0.0,2,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
17,False,364,0,0,470,2021,6,23006,False,False,26015,False,False,True,True,True,False,0.0,0.0,2,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
18,False,239,0,0,9,35,0,660,False,False,1735,False,False,True,True,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
19,False,41,0,0,37,189,0,2266,False,False,1045,False,True,True,True,False,False,0.0,0.0,1,1,0,0.0,0.0,0.0,53,39,38,208,43,85,130,157,94,153,204,51,62,68,21
20,False,1301,0,0,4228,4502,11,180805,False,False,54466,False,False,True,True,True,False,0.0,0.0,1,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
21,False,9,0,0,295,369,0,57262,False,False,80023,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51
22,False,377,0,0,347,492,3,21821,False,False,29163,False,False,False,True,False,False,0.0,0.0,3,1,1,0.0,0.0,0.0,0,0,0,27,149,224,0,0,0,0,0,0,0,0,0
