@relation 'spam-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8,12'

@attribute account_age numeric
@attribute no_follower numeric
@attribute no_following numeric
@attribute no_userfavourites numeric
@attribute no_lists numeric
@attribute no_tweets numeric
@attribute no_retweets numeric
@attribute no_hashtag numeric
@attribute no_usermention numeric
@attribute no_urls numeric
@attribute no_char numeric
@attribute no_digits numeric
@attribute class {spammer,non-spammer}

@data
0,120,211,3,0,180,1,1,2,1,94,1,spammer
707,624,428,2507,0,12881,0,0,0,1,99,6,spammer
121,1,515,0,0,416,0,0,0,1,37,0,spammer
260,5,23,0,0,1174,0,2,0,1,56,0,spammer
624,983,159,11,2,42533,0,1,0,1,82,6,spammer
847,2,365,0,0,409,0,0,0,2,65,20,spammer
18,0,5,0,0,27,2901,0,1,1,75,0,spammer
1815,11,14,4,0,175,0,0,0,1,40,1,spammer
754,388,837,243,1,1917,0,0,0,1,77,0,spammer
1868,120,510,59,6,2283,0,0,0,1,34,0,spammer
867,6,904,0,0,2449,0,0,0,1,84,21,spammer
33,138,778,0,0,1005,1260,0,1,1,58,0,spammer
1592,1,218,0,0,2121,2,0,1,2,74,22,spammer
961,44,75,0,1,1126,0,0,0,2,55,0,spammer
59,64,103,0,0,20,0,0,0,1,28,1,spammer
322,521,490,51,0,589,115372,0,1,1,106,0,spammer
768,1,0,0,0,1162,0,0,0,1,32,1,spammer
385,177,410,1025,0,2159,0,1,0,2,57,3,spammer
1,0,0,5,0,22,10016,0,1,1,66,0,spammer
1144,0,314,0,0,58,0,0,0,2,31,0,spammer
719,132,1461,0,0,1175,0,1,0,1,13,0,spammer
65,0,226,1,0,13,50,1,1,1,54,0,spammer
357,1,21,0,0,107,0,0,0,1,35,0,spammer
687,1,66,0,0,106,0,1,0,1,32,0,spammer
406,2018,1819,726,0,1848,0,0,0,1,61,5,spammer
1233,734,713,1569,0,4984,0,0,0,1,81,4,spammer
1324,0,0,0,0,80,0,0,0,1,19,0,spammer
716,0,0,0,0,28,0,0,0,2,62,2,spammer
243,3,33,0,0,16,0,0,0,1,58,0,spammer
181,485,414,14,0,5797,0,1,0,1,81,11,spammer
457,0,1,0,0,754,0,0,0,1,34,0,spammer
29,0,11,2,0,56,0,0,0,1,28,0,spammer
416,118,182,0,0,547,0,0,0,1,29,1,spammer
116,2141,1433,8,2,54631,0,1,1,1,115,7,spammer
345,1,346,0,0,861,0,0,0,1,49,1,spammer
186,1755,289,10,0,7608,1208,0,1,1,114,4,spammer
44,109,589,0,0,914,211,0,1,1,59,0,spammer
153,205,61,0,0,1292,0,0,0,1,30,0,spammer
708,7028,6252,59,3,21866,0,2,0,1,93,3,spammer
567,1,578,1,0,803,0,0,0,1,34,1,spammer
41,1,14,1,0,282,0,1,0,1,40,0,spammer
1717,4,386,0,0,675,0,0,0,1,27,0,spammer
178,82,104,0,0,802,0,0,0,1,0,0,spammer
453,1,26,0,0,1,0,0,0,1,0,0,spammer
0,0,0,0,0,2,12950,0,1,1,50,0,spammer
65,14,21,0,0,102,0,2,0,1,76,0,spammer
127,15,14,0,0,268,0,0,0,1,0,0,spammer
78,78,102,26,0,352,0,0,0,1,44,2,spammer
49,210,1,15155,1,19610,7,2,1,1,118,1,spammer
909,0,207,0,0,1,0,2,0,1,25,0,spammer
227,661,760,92,1,2541,0,0,0,1,44,0,spammer
1145,2627,349,205,4,39432,0,1,0,1,55,6,spammer
1324,0,427,0,0,3,941,0,1,1,56,2,spammer
755,1353,1997,2301,8,8381,0,1,0,1,55,6,spammer
153,206,318,3,0,1755,0,0,0,1,55,0,spammer
213,126,333,98,0,1275,0,1,0,1,55,6,spammer
700,2095,474,67,0,7226,0,1,0,1,55,6,spammer
148,0,211,0,0,453,0,0,0,2,69,20,spammer
419,2,12,0,0,2526,0,0,0,2,51,20,spammer
965,4,1,0,0,642,0,0,0,1,28,0,spammer
224,2981,379,1,1,28524,0,1,0,1,106,6,spammer
83,138,37,105,0,589,652,4,1,1,118,4,spammer
681,403,288,119,0,8397,0,1,0,1,55,6,spammer
5,716,730,0,0,1456,589,0,1,1,118,7,spammer
1077,310,405,0,8,1903,0,0,0,1,41,4,spammer
792,2,0,0,0,117,0,0,0,1,40,0,spammer
1779,76,294,9,3,8248,0,2,0,1,69,0,spammer
732,2,365,0,0,2580,0,0,0,1,43,2,spammer
36,4,7,0,0,841,75,0,1,1,73,0,spammer
62,2,119,0,0,76,0,0,0,2,82,20,spammer
460,795,109,12950,2,67965,0,1,0,1,83,4,spammer
